idx,node_id,work_node_id,google_min,google_mile,path4gmns_mile,path4gmns_km,gmns_google_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,120967,91340,10,4.1,11.75281875,18.80451,2.86654115853659,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,120274,91340,7,2.6,5.7271375,9.16342,2.20274519230769,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,122715,91340,19,16.7,10.54644375,16.87431,0.631523577844312,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,70665,77261,14,9.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,65842,91340,21,17.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,120563,91811,12,9.4,6.3562875,10.17006,0.67620079787234,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,72473,120995,12,7.9,14.04468125,22.47149,1.77780775316456,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,75860,77265,13,9.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,88029,54711,4,2.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,82285,54711,5,1.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,72756,91340,6,1.3,2.69958125,4.31933,2.07660096153846,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,119074,91340,14,4.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,108324,54711,20,18.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,74074,107980,7,2.8,11.09855,17.75768,3.96376785714286,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,88539,54711,14,11.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,52801,54711,24,18.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,75295,91340,20,17.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,73527,91340,18,16.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,120285,120995,4,1,4.37428125,6.99885,4.37428125,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,85308,91340,4,1.2,6.58816875,10.54107,5.490140625,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,68794,91340,6,2,6.35725,10.1716,3.178625,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,71157,54711,8,3.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,84630,75041,11,5.1,8.12533125,13.00053,1.59320220588235,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,116890,77261,19,15.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,67767,120982,5,2.5,6.91964375,11.07143,2.7678575,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,97596,54711,10,6.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,120563,54711,13,6.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,27775,91340,26,23.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,116890,54711,17,8.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,67527,91340,8,2.8,13.4661125,21.54578,4.80932589285714,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,94133,91340,4,1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,112276,75041,18,13.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,114036,77261,29,26.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,80097,91890,11,2.7,4.2656625,6.82506,1.579875,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,80086,91340,8,1.9,3.364825,5.38372,1.77096052631579,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,80086,91340,8,1.9,3.364825,5.38372,1.77096052631579,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,122876,91340,18,16.9,11.1983625,17.91738,0.662625,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,84788,91340,19,13.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,122816,120989,19,17.2,10.56078125,16.89725,0.613998909883721,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,64911,54711,14,10.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,92429,77261,16,11.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,93007,54711,12,9.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,69859,91891,17,8.2,12.65521875,20.24835,1.5433193597561,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,122851,54711,18,13.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,92276,54711,13,10.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,51220,54711,17,14.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,121878,91340,12,7.8,12.47844375,19.96551,1.59980048076923,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,26538,77261,35,29.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,109458,101175,21,18.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,82027,54711,18,16.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,90353,91340,14,11.4,18.11733125,28.98773,1.58923958333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,120393,107980,8,4.1,9.12235625,14.59577,2.22496493902439,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,120358,77261,15,6.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4986,54711,37,33.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,117697,91340,21,18.3,12.4680125,19.94882,0.681312158469945,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,76006,54711,11,7.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,62576,91811,7,3.1,7.32924375,11.72679,2.36427217741936,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,55720,91340,9,3.4,10.98826875,17.58123,3.23184375,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,47003,120982,16,13,20.74225,33.1876,1.59555769230769,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,86260,54711,17,14,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,86260,75041,18,15.6,10.378225,16.60516,0.665270833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,86260,75911,20,17.7,11.68283125,18.69253,0.660046963276836,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,86260,74401,20,16.8,10.808625,17.2938,0.643370535714286,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,86260,91340,19,16.7,10.63871875,17.02195,0.637049026946108,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,86260,120982,17,15,9.386625,15.0186,0.625775,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,78990,54711,23,20.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,90680,91340,23,21.7,14.0690875,22.51054,0.648345046082949,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,78491,91340,20,15.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,113223,54711,15,11,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,49656,91340,20,13.7,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,16749,77261,39,38.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,93347,91340,37,38.1,22.9233625,36.67738,0.601663057742782,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,64130,74401,12,4.2,12.04290625,19.26865,2.86735863095238,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,102829,91340,20,16.9,10.80901875,17.29443,0.639586908284024,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,45387,77261,9,3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,91344,54711,7,2.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,66373,54711,12,6.9,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,62683,91340,13,5.6,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,47562,91340,24,19.5,13.48810625,21.58097,0.691697756410257,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,85436,91891,8,3.6,10.62124375,16.99399,2.95034548611111,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,122766,108733,15,13,8.13371875,13.01395,0.625670673076923,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,54765,108733,10,4,7.12564375,11.40103,1.7814109375,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,68794,91340,7,2,6.35725,10.1716,3.178625,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,87120,109138,5,2.1,8.5544125,13.68706,4.07352976190476,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,122733,107980,4,1.9,3.16483125,5.06373,1.66570065789474,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,122733,91340,6,1.7,6.65773125,10.65237,3.9163125,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,85789,91340,18,11,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,95885,54711,7,4.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,97596,54711,10,6.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,53292,91340,2,0.3,0.611425,0.97828,2.03808333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,92103,77265,4,2.3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,97596,77261,9,5.1,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,121040,108733,6,3,9.46579375,15.14527,3.15526458333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,108257,77261,7,1.8,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,61408,97123,8,3,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,122665,80434,12,7.9,15.100275,24.16044,1.91142721518987,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,89939,54711,10,6.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,80428,91340,8,1.8,3.249225,5.19876,1.805125,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,122825,91340,14,11.1,7.30819375,11.69311,0.658395833333333,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,87080,54711,14,8.5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,76235,54711,8,5,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,83138,75041,19,16,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,113235,91340,14,6.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,104420,77261,23,16.2,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,73489,113372,21,15.4,Inf,Inf,Inf,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,61833,91340,14,10.3,19.72216875,31.55547,1.91477366504854,,,,,,,,,,,,,,,,,,,,,,,,,,,
